title,data sorce,info,details link
인천광역시 남동구_일별 코로나19 확진자수 현황,인천광역시 남동구,"인천광역시 남동구 일별 코로나19 확진자수 현황(날짜, 확진자수, 누적확진자수, 데이터기준일자) 자료입니다.",https://www.data.go.kr/data/15084724/fileData.do
"한국개발연구원_코로나19 이후 일자리, 이전과 비슷 VS 새로운 변화",한국개발연구원,"코로나19로 충격을 받은 일자리, 재택근무가 어려운 일자리일수록 고용이 감소했다고 합니다. 여기에 기술발전도 빨라지면서 노동시장 구조는 변하고 있는데요.",https://www.data.go.kr/data/15094270/fileData.do
한국산업안전보건공단_안전보건미디어자료(코로나 19 예방 수칙 스티커),한국산업안전보건공단,"「코로나-19 예방 수칙 스티커」를 제작하여 고객응대가 많은 서비스업종, 외국인 고용 중소 제조업, 다중이용시설 등에 보급",https://www.data.go.kr/data/15065841/fileData.do
소방청_코로나19 대응 인천공항 입국자 이송 현황,소방청,코로나19 대응 인천공항 입국자 이송 현황('20.3.19~9.21),https://www.data.go.kr/data/15066555/fileData.do
소방청_코로나19 대응 대구지역 119구급대 동원 현황,소방청,"코로나19 대응 대구지역 119구급대 동원 현황(’20.2.21~4.2), 두류정수장(대구시 소재)""20. 2월 말  대구지역에서 코로나19 확진환자가 급속히 증가함에",https://www.data.go.kr/data/15066547/fileData.do
공공데이터활용지원센터_코로나19 관련 정부지원 맞춤형 서비스 정보(민생경제지원),공공데이터활용지원센터,각 부처 및 지자체 코로나19 관련 정부지원 맞춤  민생 경제 지원 대책 정보,https://www.data.go.kr/data/15059671/fileData.do
서울특별시_자치구별 코로나19 백신접종현황,서울특별시,"서울특별시 자치구별 코로나19 백신접종현황입니다. ※ ‘21.10.31.24시 기준, 상기 통계는 질병보건통합시스템에 따른 잠정수치로 변동 가능함.",https://www.data.go.kr/data/15094083/fileData.do
한국보훈복지의료공단_코로나19 입원환자 현황_대전보훈병원,한국보훈복지의료공단,"대전보훈병원 코로나19  입원환자 현황- 월별/성별/연령대별 신규입원환자수, 재원환자 연인원, 신규퇴원환자수, 퇴원환자의 평균 재원일수   (대전보훈병원은 2020.3.9부터",https://www.data.go.kr/data/15086122/fileData.do
한국인터넷진흥원_코로나 19 대응을 위한 데이터 활용 현황 및 사례,한국인터넷진흥원,코로나19 확산 대응과정에 개인의 데이터 활용사례증가사례를 수록한 보고서입니다.o 주요목차- 개요 및 배경- 주요내용- 시사점,https://www.data.go.kr/data/15067133/fileData.do
한국동서발전(주)_코로나 19 시대 화상회의 이사회 시행 현황(출자회사),한국동서발전(주),"한국동서발전의 코로나 19 시대 화상회의 이사회 시행 현황 정보를 제공합니다. 일자, 출자회사명, 이사회명 등 2020년도, 2021년도 항목을 나타냅니다.",https://www.data.go.kr/data/15087289/fileData.do
